code,slug,name,province,region,kind,website,source_url,groups,tuition_display,address,name_en
DPC,ai-hoc-phan-chau-trinh,Đại Học Phan Châu Trinh,Quảng Nam,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-phan-chau-trinh/,{},,,
DPD,ai-hoc-dan-lap-phuong-ong,Đại Học Dân Lập Phương Đông,Hà Nội,Bac,DaiHoc,http://phuongdong.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dan-lap-phuong-dong/,{},,,
DPQ,ai-hoc-pham-van-ong,Đại Học Phạm Văn Đồng,Quảng Ngãi,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-pham-van-dong/,{},,,
TYS,ai-hoc-y-khoa-pham-ngoc-thach,Đại Học Y Khoa Phạm Ngọc Thạch,Hồ Chí Minh,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-y-khoa-pham-ngoc-thach/,{},,,
LCH,truong-si-quan-chinh-tri-ai-hoc-chinh-tri,Trường Sĩ Quan Chính Trị - Đại Học Chính Trị,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/truong-si-quan-chinh-tri-dai-hoc-chinh-tri/,{},,,
CSH,hoc-vien-canh-sat-nhan-dan,Học Viện Cảnh Sát Nhân Dân,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-canh-sat-nhan-dan/,{},,,
CSS,ai-hoc-canh-sat-nhan-dan,Đại Học Cảnh Sát Nhân Dân,Hồ Chí Minh,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-canh-sat-nhan-dan/,{},,,
ANH,hoc-vien-an-ninh-nhan-dan,Học Viện An Ninh Nhân Dân,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-an-ninh-nhan-dan/,{},,,
BVH,hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-bac,Học Viện Công Nghệ Bưu Chính Viễn Thông (Phía Bắc),Hà Nội,Bac,DaiHoc,https://tuyensinh.ptit.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-bac/,"{""Kỹ thuật - Công nghệ""}",22 - 27 triệu/năm,"122 Hoàng Quốc Việt, Hà Nội",Posts and Telecommunications Institute of Technology
BVS,hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-nam,Học Viện Công Nghệ Bưu Chính Viễn Thông (phía Nam),TP HCM,Nam,DaiHoc,https://tuyensinh.ptit.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/hoc-vien-cong-nghe-buu-chinh-vien-thong-phia-nam/,{},,,
PVU,ai-hoc-dau-khi-viet-nam,Đại Học Dầu Khí Việt Nam,Bà Rịa - Vũng Tàu,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dau-khi-viet-nam/,{},,,
DPX,ai-hoc-dan-lap-phu-xuan,Đại Học Dân Lập Phú Xuân,Huế,Trung,DaiHoc,https://phuxuan.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-dan-lap-phu-xuan/,{},,,
DPY,ai-hoc-phu-yen,Đại Học Phú Yên,Phú Yên,Trung,DaiHoc,http://tuyensinh.pyu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-phu-yen/,{},,,
DQB,ai-hoc-quang-binh,Đại Học Quảng Bình,Quảng Bình,Trung,DaiHoc,www.quangbinhuni.edu.vn,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-quang-binh/,{},,,
DQN,ai-hoc-quy-nhon,Đại Học Quy Nhơn,Bình Định,Trung,DaiHoc,http://tuyensinh.qnu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-quy-nhon/,{},,,
DQU,ai-hoc-quang-nam,Đại Học Quảng Nam,Quảng Nam,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-quang-nam/,{},,,
DQT,ai-hoc-quang-trung,Đại Học Quang Trung,Bình Định,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-quang-trung/,{},,,
DDM,ai-hoc-cong-nghiep-quang-ninh,Đại Học Công Nghiệp Quảng Ninh,Quảng Ninh,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghiep-quang-ninh/,{},,,
RMU,ai-hoc-quoc-te-rmit-viet-nam,Đại Học Quốc Tế RMIT Việt Nam,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-quoc-te-rmit-viet-nam/,{},,,
SDU,ai-hoc-sao-o,Đại học Sao Đỏ,Hải Dương,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-sao-do/,{},,,
DTF,truong-ngoai-ngu-ai-hoc-thai-nguyen,Trường Ngoại Ngữ – Đại Học Thái Nguyên,Thái Nguyên,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/truong-ngoai-ngu-dai-hoc-thai-nguyen/,{},,,
SGD,ai-hoc-sai-gon,Đại Học Sài Gòn,TP HCM,Nam,DaiHoc,https://sgu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-sai-gon/,{},,,
TTQ,ai-hoc-quoc-te-sai-gon,Đại Học Quốc Tế Sài Gòn,TP HCM,Nam,DaiHoc,www.siu.edu.vn,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-quoc-te-sai-gon/,{},,,
QSY,khoa-y-ai-hoc-quoc-gia-tphcm,Khoa Y - Đại học Quốc Gia TPHCM,TP HCM,Nam,DaiHoc,http://www.medvnu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/khoa-y-dai-hoc-quoc-gia-tphcm/,{},,,
DDY,khoa-y-duoc-ai-hoc-a-nang,Khoa Y Dược – Đại Học Đà Nẵng,Đà Nẵng,Trung,DaiHoc,http://smp.udn.vn,https://huongnghiep.hocmai.vn/diem-truong/khoa-y-duoc-dai-hoc-da-nang/,{},,,
QSH,khoa-chinh-tri-hanh-chinh-ai-hoc-quoc-gia-tp-hcm,Khoa Chính trị - Hành chính (Đại học Quốc gia TP HCM),Hồ Chí Minh,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/khoa-chinh-tri-hanh-chinh-dai-hoc-quoc-gia-tp-hcm/,{},,,
DHC,khoa-giao-duc-the-chat-ai-hoc-hue,Khoa Giáo Dục Thể Chất – Đại Học Huế,Huế,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/khoa-giao-duc-the-chat-dai-hoc-hue/,{},,,
PBH,truong-si-quan-phao-binh,Trường Sĩ Quan Pháo Binh,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/truong-si-quan-phao-binh/,{},,,
DSG,ai-hoc-cong-nghe-sai-gon,Đại Học Công Nghệ Sài Gòn,Hồ Chí Minh,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-cong-nghe-sai-gon/,{},,,
TBD,ai-hoc-thai-binh-duong,Đại Học Thái Bình Dương,Khánh Hòa,Trung,DaiHoc,https://tbd.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-thai-binh-duong/,{},,,
DTB,ai-hoc-thai-binh,Đại Học Thái Bình,Thái Bình,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-thai-binh/,{},,,
YTB,ai-hoc-y-duoc-thai-binh,Đại Học Y Dược Thái Bình,Thái Bình,Bac,DaiHoc,http://tbump.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-y-duoc-thai-binh/,{},,,
TTH,truong-si-quan-thong-tin-he-dan-su-ai-hoc-thong-tin-lien-lac,Trường Sĩ Quan Thông Tin - Hệ Dân Sự - Đại Học Thông Tin Liên Lạc,Khánh Hòa,Trung,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/truong-si-quan-thong-tin-he-dan-su-dai-hoc-thong-tin-lien-lac/,{},,,
TDM,ai-hoc-thu-dau-mot,Đại học Thủ Dầu Một,Bình Dương,Nam,DaiHoc,https://tuyensinh.tdmu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-thu-dau-mot/,{},,,
VPH,truong-si-quan-ki-thuat-quan-su-he-quan-su-ai-hoc-tran-ai-nghia,Trường Sĩ Quan Kĩ Thuật Quân Sự -  Hệ Quân sự - Đại Học Trần Đại Nghĩa,Đồng Nai,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/truong-si-quan-ki-thuat-quan-su-he-quan-su-dai-hoc-tran-dai-nghia/,{},,,
DTT,ai-hoc-ton-uc-thang,Đại Học Tôn Đức Thắng,TP HCM,Nam,DaiHoc,https://admission.tdtu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ton-duc-thang/,{},,,
TDD,ai-hoc-thanh-o,Đại học Thành Đô,Hà Nội,Bac,DaiHoc,thanhdo.edu.vn,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-thanh-do/,{},,,
DDB,ai-hoc-thanh-ong,Đại Học Thành Đông,Hải Dương,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-thanh-dong/,{},,,
DTD,ai-hoc-tay-o,Đại Học Tây Đô,Cần Thơ,Nam,DaiHoc,https://tdu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-tay-do/,{},,,
TTG,ai-hoc-tien-giang,Đại Học Tiền Giang,Tiền Giang,Nam,DaiHoc,http://www.tgu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-tien-giang/,{},,,
THU,ai-hoc-y-khoa-tokyo-viet-nam,Đại học Y khoa Tokyo Việt Nam,Hưng Yên,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-y-khoa-tokyo-viet-nam/,{},,,
DTL,ai-hoc-thang-long,Đại Học Thăng Long,Hà Nội,Bac,DaiHoc,https://thanglong.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-thang-long/,{},,,
TLA,ai-hoc-thuy-loi-co-so-1,Đại Học Thủy Lợi (Cơ sở 1),Hà Nội,Bac,DaiHoc,https://www.tlu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-thuy-loi-co-so-1/,{},,,
TLS,ai-hoc-thuy-loi-co-so-2,Đại Học Thủy Lợi (Cơ sở 2),Hồ Chí Minh,Nam,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-thuy-loi-co-so-2/,{},,,
TMA,ai-hoc-thuong-mai,Đại Học Thương Mại,Hà Nội,Bac,DaiHoc,https://tmu.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-thuong-mai/,{},,,
TNU,phan-hieu-ai-hoc-thai-nguyen-tai-lao-cai,Phân Hiệu Đại Học Thái Nguyên Tại Lào Cai,Lào Cai,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/phan-hieu-dai-hoc-thai-nguyen-tai-lao-cai/,{},,,
TTN,ai-hoc-tay-nguyen,Đại Học Tây Nguyên,Đắk Lắk,Trung,DaiHoc,http://tuyensinh.ttn.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-tay-nguyen/,{},,,
DTZ,ai-hoc-khoa-hoc-ai-hoc-thai-nguyen,Đại Học Khoa Học – Đại Học Thái Nguyên,Thái Nguyên,Bac,DaiHoc,https://tnus.edu.vn/,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-khoa-hoc-dai-hoc-thai-nguyen/,{},,,
DTK,ai-hoc-ky-thuat-cong-nghiep-ai-hoc-thai-nguyen,Đại Học Kỹ Thuật Công Nghiệp – Đại Học Thái Nguyên,Thái Nguyên,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-ky-thuat-cong-nghiep-dai-hoc-thai-nguyen/,{},,,
LAH,truong-si-quan-luc-quan-1-ai-hoc-tran-quoc-tuan,Trường Sĩ Quan Lục Quân 1 - Đại học Trần Quốc Tuấn,Hà Nội,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/truong-si-quan-luc-quan-1-dai-hoc-tran-quoc-tuan/,{},,,
TQU,ai-hoc-tan-trao,Đại học Tân Trào,Tuyên Quang,Bac,DaiHoc,,https://huongnghiep.hocmai.vn/diem-truong/dai-hoc-tan-trao/,{},,,
TTU,h-tan-tao,ĐH Tân Tạo,Long An,Nam,DaiHoc,https://ttu.edu.vn/tuyen-sinh/,https://huongnghiep.hocmai.vn/diem-truong/dh-tan-tao/,{},,,
